id,案内先名（name_ja）,英語名（name_en）,名詞辞書用英語,別名（alias）,カテゴリ（cat）,サブカテゴリ（subcat）,サブカテゴリ英語,エリア（area）,場所（station）,キーワード（keywords）,郵便番号（postcode）,住所（addr）,電話番号（tel）,構内（inside）,改札内（ingate）,喫煙（smoking）,座標（end_point）,緯度経度（lnglat）,日開始時間,日終了時間,月開始時間,月終了時間,火開始時間,火終了時間,水開始時間,水終了時間,木開始時間,木終了時間,金開始時間,金終了時間,土開始時間,土終了時間,公式サイトURL（url）,
11,南北自由通路,North – South free passage,North – South free passage,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,外,,"2,46,45",,0530,2300,0530,2300,0530,2300,0530,2300,0530,2300,0530,2300,0530,2300,,
12,地下自由通路,underground free passage,underground free passage,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,0570-00-2486,内,外,,"b2,79,42",,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,0545,2330,,
13,東駐車場,East parking lot,East parking lot,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,075-361-4501,内,外,,"1,96,43",,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,,
14,西駐車場（第一/第二）,West parking lot (First and Second),West parking lot,,,,,,京都,,,京都府京都市下京区東塩小路高倉町8-3,075-361-4501,内,外,,"1,5,36",,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,,
15,バスターミナル,Bus terminal,Bus terminal,,その他・サービス,バス案内所,Bus Information Center,,京都,バス案内所,,京都府京都市下京区東塩小路町,075-672-2100,内,外,,"1,63,30",,0534,2358,0534,2358,0534,2358,0534,2358,0534,2358,0534,2358,0534,2358,,
16,バスチケットセンター,Bus Ticket Center,Bus Ticket Center,,その他・サービス,バス案内所,Bus Information Center,,京都,バス案内所,,京都府京都市下京区東塩小路町 Unnamed Road,0570-002-424,内,外,,"1,65,30",,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,,
17,タクシー乗り場（烏丸口）,Taxi stop (Karasuma Exit),Taxi stop,,,タクシー,Taxi,,京都,タクシー,,京都府京都市下京区中堂寺櫛笥町1番地,075-842-1212,内,外,,"1,73,33",,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,0000,2400,,
18,市バス・高速バス乗り場,City bus and highway bus stops,City bus and highway bus stops,,,高速バス乗り場,highway bus,,京都,"高速バス乗り場,リムジンバス乗り場",,京都府京都市下京区東塩小路釜殿町,075-222-3568,外,外,,"1,48,83",,0500,2400,0500,2400,0500,2400,0500,2400,0500,2400,0500,2400,0500,2400,,
19,京都駅前地下街 ポルタ,Porta underground shopping center in front of Kyoto Station,Porta,,ショッピング,地下街,underground mall,,京都,地下街,,京都府京都市下京区東塩小路町 ９０２ 烏丸通塩小路下ル, 075-365-7528,内,外,,"b2,55,31",,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,http://www.porta.co.jp/,
20,近鉄名店街みやこみち,Miyakomichi,Miyakomichi,,ギフト・おみやげ,お土産屋,Souvenir shop,,京都,"お土産屋,お土産",,京都府京都市下京区東塩小路釜殿町３１−１,075-691-8384,内,外,,"1,33,73",,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,https://www.gnavi.co.jp/kinmei/,
21,アスティ京都,Asti Kyoto,Asty,,ギフト・おみやげ,,,,京都,,,京都府京都市下京区東塩小路高倉町８−３,075-662-0741,内,外,,"1,57,75",,0700,2115,0700,2115,0700,2115,0700,2115,0700,2115,0700,2115,0700,2115,https://www.asty-kyoto.co.jp/asty_kyoto/,
22,ジェイアール京都伊勢丹（美術館えきkyoto含む）,JR Kyoto Isetan (Including Art Museum Eki Kyoto),JR Kyoto Isetan,,ショッピング,,,,京都,,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-1111,内,外,,"2,44,42",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://kyoto.wjr-isetan.co.jp/,
23,ザ・キューブ（The CUBE）,The Cube (The CUBE),The Cube,,ギフト・おみやげ,,,,京都,,,京都府京都市下京区烏丸通塩小路下ル東塩小路町901京都駅ビル,075-371-2134,内,外,,"1,52,41",,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000,http://www.thecube.co.jp/,
24,コトチカ京都(地下自由通路と連結),Kotochika Kyoto (Connecting to underground free passage),Kotochika,,ショッピング,,,,京都,,,京都府京都市下京区東塩小路町,075-863-5068,内,外,,"b2,77,30",,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,https://kotochika.kyoto/,
25,Time’s Place 京都（近鉄京都駅改札内）,Time's Place Kyoto (Inside the ticket gate of Kintetsu Kyoto Station),Time's Place,,ショッピング,,,,京都,,,京都府京都市下京区東塩小路釜殿町３１−１,075-691-6881,内,外,,"2,37,75",,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,http://www.kintetsu-rs.com/details/timesplace/kyouto/,
26,JR西口改札前イートパラダイス（旧スバコJR京都伊勢丹）,Eat Paradise in front of JR West exit (Old Subako JR Kyoto Isetan),Eat Paradise,,レストラン・お食事,,,,京都,,,京都府京都市下京区東塩小路釜殿町下京区烏丸通塩小路下ル東塩小路町,075-352-1111,内,外,,"2,44,58",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://kyoto.wjr-isetan.co.jp/suvaco/,
27,和食小路,Washoku Koji,Washoku Koji,,,,,,京都,,,京都府京都市下京区 塩小路下ル東塩小路町９０１ 烏丸通,075-361-4401,内,外,,"2,85,39",,,,,,,,,,,,,,,,,
28,京都劇場,Kyoto Theater,Kyoto Theater,,,,,,京都,,,京都府京都市下京区 塩小路下ル東塩小路町９０１ 烏丸通,,内,外,,"2,82,39",,,,,,,,,,,,,,,,https://www.kyoto-gekijo.com/,
29,京都拉麺小路,Kyoto Ramen Koji,Kyoto Ramen Koji,,レストラン・お食事,,,,京都,,,京都府京都市下京区 塩小路下ル東塩小路町９０１ 烏丸通,,内,外,,"10,40,48",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-ramen-koji.com/index.html,
30,おみやげ街道,Souvenir Highway,Omiyage Kaido,,ショッピング,,,,京都,,,,,内,外,,"2,47,62",,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,0730,2200,https://www.dailyservice.co.jp/shop/%E3%81%8A%E3%81%BF%E3%82%84%E3%81%92%E8%A1%97%E9%81%93%EF%BC%AA%EF%BC%B2%E4%BA%AC%E9%83%BD%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97.html,
31,（構外）ビックカメラJR京都店（西洞院口から直結）,Bic Camera JR Kyoto (Directly connected to Nishinotoin exit),Bic Camera,,ショッピング,家電量販店,electronics mass retailer,,京都,ビックカメラ,,京都府京都市下京区東塩小路町927,075-353-1111,内,外,,,,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,https://www.biccamera.co.jp/shoplist/shop-101.html,
32,（重複）ホテル近鉄京都駅,Hotel Kintetsu Kyoto Station,Kintetsu,,,,,,京都,,,京都府京都市下京区東塩小路釜殿町１−９,075-692-2111,内,外,,,,,,,,,,,,,,,,,,https://www.miyakohotels.ne.jp/kyoto-station/index.html,
33,ホテルグランヴィア京都,Hotel Granvia Kyoto,Granvia,,,ホテル,Hotel,,京都,グランヴィア京都,,京都府京都市下京区東塩小路町９０１,075-344-8888,内,外,,"2,73,42",,,,,,,,,,,,,,,,http://www.granvia-kyoto.co.jp/,
35,鉄道案内所,railway information center,railway information center,,その他・サービス,案内所,information center,,京都,案内所,,京都府京都市下京区東塩小路釜殿町,,内,外,,"1,57,43",,,,,,,,,,,,,,,,http://www.kyoto-kankou.or.jp/info_search/?id=3859&r=1541645747.6749,
36,コトチカ京都 市バス・地下鉄案内所,Kotochika Kyoto City Bus and Subway Information Center,Kotochika Kyoto City Bus and Subway Information Center,,その他・サービス,案内所,information center,,京都,案内所,600-8216,京都府京都市下京区東塩小路釜殿町,075-371-9866,内,外,,"1,80,38",,0730,1930,0730,1930,0730,1930,0730,1930,0730,1930,0730,1930,0730,1930,,
38,中央口,central opening,central exit,,,改札,ticket gate,,京都,"改札,中央口",,,,内,外,,"1,59,44",,,,,,,,,,,,,,,,,
39,八条東口,Hachijo East Exit,Hachijo East Exit,,,改札,ticket gate,,京都,改札,,,,内,外,,"1,78,71",,,,,,,,,,,,,,,,,
40,新幹線八条東口,Hachijo East Exit of Shinkansen,Hachijo East Exit of Shinkansen,,,改札,ticket gate,,京都,改札,,,,内,外,,"1,76,73",,,,,,,,,,,,,,,,,
41,新幹線八条口改札,Ticket gate of Shinkansen Hachijo,Shinkansen Hachijo ticket gate,,,改札,ticket gate,,京都,"改札,八条口",,,,内,外,,"1,56,72",,,,,,,,,,,,,,,,,
42,西洞院口,Nishinotoin-guchi,West Toin gate,,,改札,ticket gate,,京都,改札,,,,内,外,,"1,0,49",,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,,
43,新幹線中央口,Shinkansen Chuo-guchi,Shinkansen Central Ticket Gate,,,改札,ticket gate,,京都,"改札,中央口",,,,内,外,,"2,53,62",,,,,,,,,,,,,,,,,
44,近鉄改札口,Kintetsu ticket gate,Kintetsu Ticket Gate,,,改札,ticket gate,,京都,"改札,近鉄",,,,内,外,,"2,40,73",,,,,,,,,,,,,,,,,
45,新幹線中央乗換口,Shinkansen Central Transfer Gate,Shinkansen Central Transfer Gate,,,改札,ticket gate,,京都,改札,,,,内,内,,"2,49,74",,,,,,,,,,,,,,,,,
46,新幹線東乗換口,East transfer gate of Shinkansen,Shinkansen East Transfer Gate,,,改札,ticket gate,,京都,改札,,,,内,内,,"2,73,73",,,,,,,,,,,,,,,,,
47,西口,West exit,West Exit,,,改札,ticket gate,,京都,改札,,,,内,外,,"2,49,56",,,,,,,,,,,,,,,,,
48,地下中央口,underground central entrance,Underground Central Entrance,,,改札,ticket gate,,京都,改札,,,,内,外,,"b1,59,39",,,,,,,,,,,,,,,,,
49,地下鉄東口,East exit of subway station,Subway East Eexit,,,改札,ticket gate,,京都,"改札,地下鉄",,,,内,外,,"b2,77,42",,,,,,,,,,,,,,,,,
50,地下鉄中央口1,Metro Central Exit 1,Metro Central Exit 1,,,改札,ticket gate,,京都,"改札,地下鉄",,,,内,外,,"b2,80,35",,,,,,,,,,,,,,,,,
51,地下鉄中央口2,Central Exit 2,Central Exit 2,,,改札,ticket gate,,京都,"改札,地下鉄",,,,内,外,,"b2,79,47",,,,,,,,,,,,,,,,,
52,JR京都駅キャリーサービス Crosta京都,JR Kyoto Station CARRY SERVICE CROSTA KYOTO,Carry Service Crosta Kyoto,,,コインロッカー,Coin locker,,京都,"コインロッカー,荷物預かり",,,,内,外,,"b1,58,45",,,,,,,,,,,,,,,,https://handsfree-japan.com/,
53,西改札内,Coin lockers at the west ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,内,,"2,52,65",,,,,,,,,,,,,,,,,
54,西改札口自由連絡通路,Coin lockers at the free passage of the West ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"2,48,51",,,,,,,,,,,,,,,,,
55,八条口,Hachijoguchi coin locker,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"1,75,74",,,,,,,,,,,,,,,,,
56,京都劇場下,Kyoto Theater Suburban Coin Coin Coin,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"1,83,37",,,,,,,,,,,,,,,,,
57,鳥丸口 （みどりの窓口近く）,Torimarukuchi (B) Coin locker,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"1,68,40",,,,,,,,,,,,,,,,,
59,鳥丸口外（中央口すぐポルタへの階段正面横）,Torimarukuchi coin locker,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"1,58,32",,,,,,,,,,,,,,,,,
60,鳥丸口定期観光バス乗り場,Torimaruguchi Regular Sightseeing Bus Terminal Coin Coin Coin,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"1,41,27",,,,,,,,,,,,,,,,,
61,JR中央改札内0番のりば（複数個所）,Coin lockers at the central ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,内,,"1,51,46",,,,,,,,,,,,,,,,,
62,京都駅ビル地下一階（3か所）,Coin locker on the first basement (F),,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b1,70,39",,,,,,,,,,,,,,,,,
63,地下自由通路 中央,Coin lockers on Platform 8 and 9 inside the JR underground ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,内,,"b2,81,55",,,,,,,,,,,,,,,,,
64,"JR地下改札内8,9番線のりば階段前",Coin lockers on Platform 8 and 9 inside the JR underground ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,内,,"b2,79,65",,,,,,,,,,,,,,,,,
65,地下鉄烏丸線のりば（中央1改札）対面,Coin-operated lockers outside the ticket gate of the JR underground east exit,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,76,39",,,,,,,,,,,,,,,,,
66,ポルタA2出口（タクシーのりば/京都駅ビル）,Coin lockers at the A1 exit,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,84,29",,,,,,,,,,,,,,,,,
67,ポルタA3出口階段前（塩小路通）,A3 Exit Coin Coin Coin Coin,Coin Lockers At A3 Exit,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,89,22",,,,,,,,,,,,,,,,,
68,ポルタB7出口横（京都駅ビル連絡通路/ザ・キューブ）,B7 Exit Coin Coin Coin,Coin Lockers At B7 Exit,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,56,30",,,,,,,,,,,,,,,,,
69,ポルタC1出口前（京都駅南北自由通路前階段）,Coin locker at C1 exit,Coin Lockers At  C1 Exit,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,40,27",,,,,,,,,,,,,,,,,
70,ポルタC3出口横,Coin locker at C3 exit,Coin Lockers At  C3 Exit,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,42,23",,,,,,,,,,,,,,,,,
71,ポルタC9出口横（2か所）,Coin locker at C9 exit,Coin Lockers At  C9 Exit,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,31,24",,,,,,,,,,,,,,,,,
73,ポルタB12階段横,B 12 Stair side coin locker,Coin Lockers Beside  B12 Stair,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,53,19",,,,,,,,,,,,,,,,,
74,1番出口（烏丸塩小路北東）,Coin locker at the exit 1,Coin lockers at the exit 1,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,77,13",,,,,,,,,,,,,,,,,
76,地下鉄烏丸線のりば（北改札）,Coin lockers at the north ticket gate,,,,コインロッカー,Coin locker,,京都,コインロッカー,,,,内,外,,"b2,77,19",,,,,,,,,,,,,,,,,
77,多機能トイレ,Multifunctional Restroom,,,,お手洗い,restroom,,京都,"お手洗い,車いす対応トイレ,多目的トイレ,トイレ",,,,内,外,,"1,63,72",,,,,,,,,,,,,,,,,
78,多機能トイレ,Multifunctional Restroom,,,,お手洗い,restroom,,京都,"お手洗い,車いす対応トイレ,多目的トイレ,トイレ",,,,内,外,,"b2,84,36",,,,,,,,,,,,,,,,,
79,多機能トイレ,Multifunctional Restroom,,,,お手洗い,restroom,,京都,"お手洗い,車いす対応トイレ,多目的トイレ,トイレ",,,,内,外,,"2,48,49",,,,,,,,,,,,,,,,,
80,京都駅烏丸口（バス）,Karasuma Exit of Kyoto Station (Bus),Karasuma Exit Bus Stop,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,37,12",,,,,,,,,,,,,,,,,
81,京都駅八条口バス乗り場,Kyoto Station Hachijoguchi bus stop,Hachijoguchi bus stop,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,37,78",,,,,,,,,,,,,,,,,
82,京都駅烏丸口 JRバスのりば,Karasuma Exit of Kyoto Station JR Bus Stop,Karasuma Exit  JR Bus Stop,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,52,31",,,,,,,,,,,,,,,,,
83,京都駅八条口 (民営バス・高速バス) F3のりば,"Kyoto Station Hachijo Exit (Private buses and highway buses), platform F3",Hachijo  Exit F3 ,,,"バス,高速バス",Bus,,京都,バス乗り場,,,,外,外,,"1,65,82",,,,,,,,,,,,,,,,,
84,京都定期観光バス 京都駅烏丸口バスターミナル,Kyoto Regular Tour Bus Kyoto Station Karasuma Exit Bus Terminal,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,40,28",,,,,,,,,,,,,,,,,
85,空港リムジンバス乗り場,Airport limousine bus stop,Airport limousine bus stop,,,バス,Bus,,京都,"バス乗り場,関空リムジンバス乗り場",,,,外,外,,"1,69,90",,,,,,,,,,,,,,,,,
86,京都駅八条口（ケイルック）E1バスのりば,Kyoto Station Hachijo Exit (Kay look) E1 bus stop,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,35,81",,,,,,,,,,,,,,,,,
87,Willer夜行バス 八条口バス停,Willer night bus: Hachijoguchi bus stop,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,52,88",,,,,,,,,,,,,,,,,
88,京都駅八条口 (伊丹空港リムジンバス) G3のりば,Kyoto Station Hachijo Exit (Itami Airport limousine bus) G3 Noriba,,,,バス,Bus,,京都,"バス乗り場,リムジンバス乗り場",,,,外,外,,"1,63,89",,,,,,,,,,,,,,,,,
90,京都駅八条口東側バスのりば,Kyoto Station Hachijoguchi East Bus Stop,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,84,86",,,,,,,,,,,,,,,,,
91,京都観光バス駅,Kyoto Kanko Bus Station,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,38,27",,,,,,,,,,,,,,,,,
92,京都駅八条口（プリンセスラインバス）E2のりば,Kyoto Station Hachijo Exit (Princess Line Bus) E2 Noriba,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,34,81",,,,,,,,,,,,,,,,,
93,都駅八条口（民営バス）のりば,Toei Station Hachijo Exit (private bus) Noriba,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,37,82",,,,,,,,,,,,,,,,,
94,京都駅八条口バスのりば,Kyoto Station Hachijoguchi Bus Stop,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,87,90",,,,,,,,,,,,,,,,,
95,京都駅八条口 (関空リムジンバス) H2のりば,Kyoto Station Hachijo Exit (Kansai Airport Limousine Bus) H2 Noriba,,,,バス,Bus,,京都,"バス乗り場,関空行バス乗り場, 京都八条口アバンティ前,関空リムジンバス",,,,外,外,,"1,91,89",,,,,,,,,,,,,,,,,
96,京都駅八条口（市バス）F1のりば,Kyoto Station Hachijo Exit (City bus) F1 platform,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,56,83",,,,,,,,,,,,,,,,,
97,京都駅八条口アバンティ前（市バス）H5のりば,Kyoto Station Hachijoguchi Avanti-mae (City bus) Platform H5,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,97,99",,,,,,,,,,,,,,,,,
98,京阪バス（株）京都定期観光バス,"Keihan Bus Co., Ltd. Kyoto Regular Tour Bus",,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,85,93",,,,,,,,,,,,,,,,,
99,京都駅八条口（市バス）F2のりば,Kyoto Station Hachijo Exit (City bus) F2 Noriba,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,62,83",,,,,,,,,,,,,,,,,
100,京都駅烏丸口 (高速バス) JR1のりば,Karasuma Exit of Kyoto Station (express bus) JR Platform 1,,,,バス,Bus,,京都,"バス乗り場,高速バス乗り場",,,,外,外,,"1,48,31",,,,,,,,,,,,,,,,,
101,京都駅烏丸口 (高速バス) JR2のりば,Karasuma Exit of Kyoto Station (express bus) JR Platform 2,,,,バス,Bus,,京都,"バス乗り場,高速バス乗り場",,,,外,外,,"1,52,31",,,,,,,,,,,,,,,,,
102,京都駅八条口貸切バス乗降場,Kyoto Station Hachijoguchi Private Bus Stop,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,87,84",,,,,,,,,,,,,,,,,
104,京都駅前（市バス）A2のりば,Platform A2 in front of Kyoto Station (City bus),,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,52,28",,,,,,,,,,,,,,,,,
105,京都駅前（市バス）A3 のりば,"Kyoto Ekimae (City bus), Platform A3",,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,55,28",,,,,,,,,,,,,,,,,
106,京都駅八条口（民営バス）H3おりば,Kyoto Station Hachijo Exit (private bus) H3 Obori,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,97,84",,,,,,,,,,,,,,,,,
107,京都駅前（市バス）A1のりば,"Platform A1, in front of Kyoto Station (City bus)",,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,48,28",,,,,,,,,,,,,,,,,
108,京都駅前（京阪バス・丹海交通バス）C2のりば,Kyoto Station (Keihan Bus / Tankai Kotsu Bus) C2 Noriba,,,,バス,Bus,,京都,"バス乗り場,京都水族館行バス乗り場,京都鉄道博物館行バス乗り場",,,,外,外,,"1,58,17",,,,,,,,,,,,,,,,,
109,京都駅八条口（民営バス）H4のりば,Kyoto Station Hachijo Exit (private bus) H4 Noriba,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,98,95",,,,,,,,,,,,,,,,,
110,都駅八条口アバンティ前（市バス）I2のりば,Miyako Station Hachijoguchi Avanti-mae (City bus) Platform I2,,,,バス,Bus,,京都,"バス乗り場,市バス乗り場",,,,外,外,,"1,98,80",,,,,,,,,,,,,,,,,
111,京都駅八条口（高速バス）G2のりば,Kyoto Station Hachijo Exit (express bus) G2 Noriba,,,,バス,Bus,,京都,バス乗り場,,,,外,外,,"1,60,88",,,,,,,,,,,,,,,,,
112,京都駅八条口アバンティ前（市バス）H7のりば,Kyoto Station Hachijoguchi Avanti-mae (City bus) Platform H7,,,,バス,Bus,,京都,"バス乗り場,市バス乗り場",,,,外,外,,"1,99,95",,,,,,,,,,,,,,,,,
113,京都駅前（市バス）B1のりば,Platform B1 in front of Kyoto Station (City bus),,,,バス,Bus,,京都,"バス乗り場,市バス乗り場",,,,外,外,,"1,46,25",,,,,,,,,,,,,,,,,
114,京都駅烏丸口 (一般)タクシーのりば,Karasuma Exit of Kyoto Station (General),,,,タクシーのりば,taxi stand,,京都,"タクシー乗り場,タクシー",,,,外,外,,"1,74,31",,,,,,,,,,,,,,,,,
115,MKタクシー 京都駅八条口のりば,MK Taxi Kyoto Station Hachijoguchi Noriba,,,,タクシーのりば,taxi stand,,京都,"タクシー乗り場,タクシー",,,,外,外,,"1,50,92",,,,,,,,,,,,,,,,,
116,京都駅八条口タクシー乗り場,Kyoto Station Hachijoguchi taxi stand,,,,タクシーのりば,taxi stand,,京都,"タクシー乗り場,タクシー",,,,外,外,,"1,37,78",,,,,,,,,,,,,,,,,
117,京都駅烏丸口 タクシーおりば,Karasuma Exit of Kyoto Station Taxi Oriba,,,,タクシーのりば,taxi stand,,京都,"タクシー乗り場,タクシー",,,,外,外,,"1,83,26",,,,,,,,,,,,,,,,,
118,三菱UFJ銀行京都駅前支店,BTMU Kyoto-ekimae Branch,,,,銀行,bank,,京都,銀行,,京都府 京都市下京区塩小路通烏丸西入東塩小路町614,075-371-2171,外,外,,"1,6,11",,9999,9999,0900,1500,0900,1500,0900,1500,0900,1500,0900,1500,9999,9999,http://map.bk.mufg.jp/b/bk_mufg/info/BA590245/,
